fecha,hora,modelo,operacion,tiempo,input,cached_input,output,coste
2026-07-19,09:30:35,gpt-5.4-mini,importar_test_imagen,2.72,2118,1280,290,0.002894
2026-07-19,09:30:37,gpt-5.4-mini,importar_test_imagen,1.99,2118,1280,193,0.002457
2026-07-19,09:30:41,gpt-5.4-mini,importar_test_imagen,3.43,2886,2304,470,0.004280
2026-07-19,09:30:43,gpt-5.4-mini,importar_test_imagen,2.42,2195,1792,278,0.002897
2026-07-19,09:30:45,gpt-5.4-mini,importar_test_imagen,1.80,2118,1280,189,0.002439
2026-07-19,09:30:47,gpt-5.4-mini,importar_test_imagen,1.85,2118,1280,195,0.002466
2026-07-19,09:30:50,gpt-5.4-mini,importar_test_imagen,2.32,2118,0,188,0.002435
2026-07-19,09:30:52,gpt-5.4-mini,importar_test_imagen,2.13,2195,0,221,0.002641
2026-07-19,09:30:56,gpt-5.4-mini,importar_test_imagen,3.25,2656,0,402,0.003801
2026-07-19,09:30:57,gpt-5.4-mini,importar_test_imagen,1.76,2118,0,174,0.002371
2026-07-19,09:30:59,gpt-5.4-mini,importar_test_imagen,1.84,2118,1280,174,0.002371
2026-07-19,09:31:02,gpt-5.4-mini,importar_test_imagen,2.10,2195,0,209,0.002587
2026-07-19,09:31:04,gpt-5.4-mini,importar_test_imagen,1.83,2195,0,169,0.002407
2026-07-19,09:31:06,gpt-5.4-mini,importar_test_imagen,2.27,2118,1280,254,0.002731
2026-07-19,09:31:08,gpt-5.4-mini,importar_test_imagen,1.63,2195,0,189,0.002497
2026-07-19,09:31:10,gpt-5.4-mini,importar_test_imagen,2.07,2118,0,222,0.002588
2026-07-19,09:31:12,gpt-5.4-mini,importar_test_imagen,2.08,2272,0,230,0.002739
2026-07-19,09:31:14,gpt-5.4-mini,importar_test_imagen,1.85,2042,0,213,0.002490
2026-07-19,09:31:17,gpt-5.4-mini,importar_test_imagen,3.04,2118,0,227,0.002610
2026-07-19,09:31:19,gpt-5.4-mini,importar_test_imagen,1.59,2118,0,163,0.002322
2026-07-19,09:31:22,gpt-5.4-mini,importar_test_imagen,2.69,2426,0,345,0.003372
2026-07-19,09:31:25,gpt-5.4-mini,importar_test_imagen,2.44,2272,1792,300,0.003054
2026-07-19,09:31:31,gpt-5.4-mini,importar_test_imagen,6.28,1965,0,159,0.002189
2026-07-19,09:31:35,gpt-5.4-mini,importar_test_imagen,3.33,2195,0,336,0.003158
2026-07-19,09:31:39,gpt-5.4-mini,importar_test_imagen,3.72,2502,0,360,0.003496
2026-07-19,09:31:41,gpt-5.4-mini,importar_test_imagen,2.39,2272,0,263,0.002888
2026-07-19,09:31:43,gpt-5.4-mini,importar_test_imagen,1.97,2195,0,198,0.002537
